Allele;Frequency
HLA-A33:22;0,00000020
HLA-A33:24;0,00000003
HLA-A33:25;0,00000418
HLA-A33:26;0,00000196
HLA-A33:27;0,00000020
HLA-A33:28;0,00000012
HLA-A33:30;0,00000103
HLA-A33:36;0,00003695
HLA-A33:43;0,00000002
HLA-A33:71;0,00000303
HLA-A34:01;0,00609241
HLA-A34:02;0,00374941
HLA-A34:03;0,00000301
HLA-A34:04;0,00000036
HLA-A34:05;0,00008517
HLA-A34:06;0,00000008
HLA-A34:07;0,00000002
HLA-A34:08;0,00000007
HLA-A34:09;0,00000004
HLA-A36:01;0,00275481
HLA-A36:02;0,00000338
HLA-A36:03;0,00004792
HLA-A36:04;0,00000866
HLA-A36:05;0,00000227
HLA-A43:01;0,00003378
HLA-A66:01;0,00664022
HLA-A66:02;0,00078263
HLA-A66:03;0,00019279
HLA-A66:04;0,00000045
HLA-A66:05;0,00000105
HLA-A66:06;0,00000001
HLA-A66:07;0,00000104
HLA-A66:09;0,00000026
HLA-A66:11;0,00000002
HLA-A66:13;0,00000069
HLA-A66:14;0,00000069
HLA-A66:17;0,00000206
HLA-A68:01;0,02680175
HLA-A68:02;0,01903354
HLA-A68:03;0,00127271
HLA-A68:04;0,00001638
HLA-A68:05;0,00020733
HLA-A68:06;0,00001760
HLA-A68:07;0,00001762
HLA-A68:08;0,00001241
HLA-A68:09;0,00000136
HLA-A68:10;0,00002136
HLA-A68:101;0,00000002
HLA-A68:12;0,00001607
HLA-A68:13;0,00000584
HLA-A68:14;0,00000008
HLA-A68:148;0,00000002
HLA-A68:15;0,00002274
HLA-A68:155;0,00000002
HLA-A68:158;0,00000002
HLA-A68:16;0,00000103
HLA-A68:17;0,00000438
HLA-A68:18;0,00001774
HLA-A68:19;0,00000077
HLA-A68:20;0,00001324
HLA-A68:22;0,00000026
HLA-A68:23;0,00000048
HLA-A68:24;0,00001398
HLA-A68:25;0,00000048
HLA-A68:26;0,00000134
HLA-A68:27;0,00000185
HLA-A68:28;0,00000151
HLA-A68:29;0,00000078
HLA-A68:30;0,00002147
HLA-A68:31;0,00000214
